circ_id,CASE1,CASE2,CASE3,CASE4,CASE5,CONTROL1,CONTROL2,CONTROL3
12:115876351|115916462,6.0,0,4.0,4.0,3.0,0,0,0
12:8035286|8037769,0,0,2.0,0,0,0,0,0
13:100383685|100453183,0,0,0,0,1.0,0,0,0
13:34169941|34170082,0,0,2.0,0,0,0,0,0
13:35143857|35172335,0,2.0,0,0,0,4.0,0,0
13:4497032|4499033,0,0,0,0,0,0,4.0,0
13:49349100|49349519,0,0,0,0,0,0,0,4.0
13:56694611|56696195,0,0,0,0,0,0,0,2.0
13:67831522|67859126,0,3.0,0,0,0,0,0,0
14:120066841|120073301,0,0,0,0,0,4.0,0,0
14:21284901|21290639,0,0,0,0,3.0,3.0,5.0,4.0
14:21368081|21368251,0,0,3.0,0,0,0,2.0,0
14:30643369|30643879,4.0,0,0,0,0,0,0,0
14:30653118|30654226,2.0,0,0,0,0,2.0,0,0
14:31096466|31099384,0,0,2.0,0,0,0,0,0
14:40843257|40843429,5.0,0,3.0,4.0,7.0,0,0,0
14:52439088|52439639,0,0,0,1.0,0,0,0,0
14:59514770|59558956,0,0,0,3.0,0,0,0,0
14:59560617|59586837,0,0,0,0,1.0,0,0,0
14:59560617|59618933,0,2.0,0,1.0,0,0,0,0
14:73605821|73622557,0,0,0,0,0,0,3.0,0
14:75512456|75515625,0,0,3.0,0,0,0,0,0
15:74855149|74983529,0,0,0,0,2.0,0,0,0
15:76582508|76582709,0,0,0,0,0,0,0,2.0
15:81809987|81810127,0,0,0,0,0,3.0,5.0,2.0
15:82235180|82238328,0,0,0,0,0,0,0,3.0
15:82336812|82337945,0,0,0,0,0,3.0,0,0
15:82523257|82523526,2.0,0,0,0,0,0,0,0
15:9084278|9091317,0,0,0,0,0,0,3.0,0
15:91691055|91695288,0,0,0,0,0,0,2.0,0
15:96906568|96906833,0,0,0,0,0,4.0,0,0
16:17154747|17155000,0,0,0,0,0,0,2.0,0
16:18230660|18232083,0,0,0,0,0,0,3.0,0
16:22713075|22715359,0,0,0,0,0,0,2.0,0
16:22714030|22715344,0,0,0,0,3.0,0,0,3.0
16:22717613|22718076,0,0,0,0,0,0,0,12.0
16:22717782|22717944,5.0,2.0,0,0,3.0,0,3.0,0
16:36154593|36184675,0,2.0,0,3.0,0,0,0,0
16:37410095|37413821,0,0,0,0,0,3.0,0,0
16:38071490|38071876,0,0,0,0,0,0,2.0,0
17:21870723|21899039,0,0,0,0,0,0,0,1.0
17:21871187|21899039,0,0,5.0,3.0,10.0,3.0,0,2.0
17:30354297|30354479,0,0,3.0,0,0,0,0,0
17:31475628|31559986,0,0,0,0,3.0,7.0,2.0,0
17:31477089|31559986,0,4.0,0,0,1.0,0,1.0,0
17:31831794|31831956,3.0,0,0,0,0,4.0,0,3.0
17:31836362|31839987,0,0,0,0,0,0,1.0,0
17:32763857|32848130,0,0,0,0,0,0,0,1.0
17:34194471|34215628,0,0,14.0,0,0,0,0,6.0
17:34947739|35028315,0,7.0,0,0,10.0,0,0,0
17:34957817|34957975,0,0,0,2.0,0,0,0,0
17:34957817|35036930,0,0,0,0,0,0,2.0,0
17:35077023|35078024,2.0,0,0,0,0,0,0,0
17:35321680|35321906,0,2.0,0,0,0,0,0,0
17:35482355|35482878,0,0,0,0,3.0,0,0,0
17:35484760|35614256,0,0,0,2.0,1.0,0,0,0
17:35485163|35564006,38.0,0,0,0,0,0,0,0
17:35485163|35602109,0,0,0,0,0,0,21.0,0
17:35485664|35602563,8.0,0,0,0,9.0,7.0,0,5.0
17:35485664|35647568,0,12.0,0,0,0,0,0,0
17:35517504|35610207,1.0,0,0,0,0,0,0,0
17:35616043|35659160,0,0,0,0,2.0,0,0,0
17:35781791|35781964,0,0,1.0,0,0,0,0,0
17:36342530|36377282,0,0,3.0,0,0,0,0,0
17:36352341|36377282,0,0,1.0,0,0,0,0,0
17:36352341|36421027,0,3.0,0,0,6.0,0,0,0
17:36378535|36432809,0,4.0,5.0,0,0,0,0,0
17:40158536|40158740,0,2.0,0,0,0,6.0,0,0
17:57352079|57352218,0,0,0,0,0,0,2.0,0
17:57516248|57516460,1.0,0,0,0,0,0,0,0
17:57522117|57522876,0,0,0,2.0,0,0,0,0
17:57529265|57529839,0,7.0,5.0,0,6.0,3.0,0,7.0
17:57533216|57533764,0,0,0,3.0,0,0,0,0
17:6744416|6907189,0,0,0,2.0,0,0,0,0
17:71537313|71538327,0,0,0,2.0,0,0,0,0
17:84139025|84139808,0,0,0,0,0,0,4.0,0
18:12890665|12896003,0,2.0,0,0,0,0,0,0
18:31748661|31769152,0,0,0,0,0,3.0,0,0
18:31752418|31769152,9.0,0,3.0,2.0,11.0,13.0,10.0,0
18:31754081|31769152,3.0,0,0,0,0,0,0,0
18:31766843|31769152,0,0,0,0,3.0,0,2.0,0
18:60520552|60572570,0,0,1.0,0,0,0,0,0
18:60521331|60572570,0,0,6.0,0,0,0,0,0
19:20595244|20602165,0,0,0,0,0,3.0,0,0
19:34564461|34585398,0,0,1.0,0,0,0,0,0
19:38105139|38105341,10.0,4.0,3.0,0,0,2.0,4.0,0
19:38106851|38112550,0,0,0,0,0,0,0,5.0
19:38112744|38113003,0,0,0,4.0,0,0,0,0
19:39296052|39298275,0,0,0,0,0,0,2.0,0
19:39604064|39637458,0,0,0,0,0,2.0,0,0
19:39604064|39673512,0,0,0,0,0,0,1.0,0
19:39604064|39686557,1.0,0,0,0,0,0,0,0
19:3960898|3961616,0,0,0,0,0,3.0,0,0
19:39627010|39627186,0,0,0,0,0,0,0,1.0
19:39627010|39700997,0,0,0,0,2.0,0,0,2.0
19:39627010|39722904,0,0,0,0,0,0,1.0,0
19:39627010|39775344,0,0,0,0,0,0,0,2.0
19:39727820|39869686,1.0,0,0,0,0,0,0,0
19:39795959|39869686,0,3.0,0,0,0,0,0,0
19:39990265|40085317,6.0,0,0,0,0,7.0,0,0
19:39990271|40085302,0,0,0,0,52.0,0,0,58.0
19:8195128|8364168,0,0,0,0,1.0,0,1.0,0
1:130778887|130779412,0,0,0,0,0,0,2.0,0
1:134004761|134004901,0,0,0,3.0,0,0,0,0
1:139481251|139481433,7.0,0,0,0,5.0,0,0,14.0
1:139588580|139702409,0,0,0,0,0,0,1.0,0
1:139786293|139819430,0,0,1.0,0,7.0,2.0,0,5.0
1:139786293|139858635,139.0,130.0,491.0,0,607.0,255.0,472.0,609.0
1:139946514|140016578,0,0,3.0,0,0,0,2.0,0
1:140075393|140075563,2.0,0,0,0,0,4.0,4.0,6.0
1:140090689|140090874,0,0,0,0,0,0,2.0,0
1:151235893|151236590,0,0,0,3.0,0,0,0,0
1:153495546|153495713,0,0,0,0,0,0,2.0,0
1:155658271|155659256,0,3.0,0,2.0,0,0,0,0
1:160822888|160823025,0,0,0,0,0,0,3.0,1.0
1:170079119|170110866,3.0,0,0,1.0,5.0,0,0,0
1:172722242|172722538,0,0,0,0,1.0,0,0,0
1:173587696|173733197,1.0,0,0,0,1.0,0,0,0
1:173609802|173754788,0,0,0,0,0,0,0,2.0
1:173698944|173733197,0,0,0,0,0,0,0,1.0
1:173701917|173762743,10.0,10.0,10.0,0,6.0,4.0,8.0,2.0
1:173707491|173765592,0,0,16.0,0,8.0,2.0,8.0,7.0
1:173733698|173854252,0,0,0,0,1.0,0,0,0
1:173740380|173805000,0,0,0,0,1.0,0,0,0
1:173740380|173805003,0,0,23.0,0,19.0,4.0,16.0,0
1:173740380|173810307,69.0,49.0,4.0,130.0,2.0,0,8.0,5.0
1:180829364|180845042,0,0,2.0,0,0,0,4.0,0
1:191758486|191758671,0,0,0,0,0,1.0,0,0
1:21335091|21335225,0,0,0,0,0,0,0,3.0
1:67244327|67251634,2.0,2.0,5.0,0,0,0,0,0
1:67254673|67257085,0,3.0,0,1.0,0,0,0,0
1:67254707|67259760,0,2.0,0,0,0,0,3.0,0
1:72888327|72888863,3.0,0,0,0,0,0,0,0
1:74637873|74638299,0,0,2.0,0,0,0,0,0
1:84014309|84014444,0,0,0,0,1.0,0,0,0
1:85423964|85542992,0,8.0,0,0,0,0,0,0
1:86009763|86010973,0,0,0,0,0,0,0,2.0
1:88146161|88146325,2.0,2.0,2.0,0,4.0,0,6.0,0
2:10121460|10122257,0,0,0,0,0,0,4.0,0
2:103303397|103304765,0,0,0,0,0,1.0,0,0
2:122272040|122316571,0,0,5.0,0,0,0,0,0
2:122272043|122316571,6.0,0,0,0,0,0,0,0
2:134364905|134372717,0,0,0,0,0,5.0,0,0
2:143789649|143789820,0,0,0,0,0,0,2.0,0
2:143827997|143830109,0,0,2.0,0,0,0,0,0
2:157966063|157966272,0,5.0,0,0,3.0,0,0,0
2:174266459|174267765,0,0,0,0,0,0,2.0,0
2:181282410|181287385,4.0,0,0,0,0,0,0,0
2:27410882|27423038,0,0,0,1.0,0,0,0,0
2:34665078|34665245,0,0,0,2.0,0,0,0,0
2:35206018|35211698,0,0,0,0,0,0,2.0,0
2:3779492|3780591,0,0,2.0,0,0,0,0,0
2:4932176|4932329,0,0,0,0,0,0,7.0,0
2:84520683|84520823,0,0,0,0,0,2.0,0,0
2:84603485|84603744,0,6.0,0,0,0,0,0,0
2:91456047|91459641,0,0,0,0,0,2.0,0,0
2:91461041|91463609,0,3.0,0,0,0,0,0,0
3:107919588|107919739,0,0,0,0,0,2.0,0,0
3:107949452|107949735,0,1.0,0,0,0,0,0,0
3:14928615|14931981,0,0,0,0,0,0,0,3.0
3:151197914|151203613,0,0,2.0,0,0,0,9.0,8.0
3:151203464|151203613,0,0,1.0,0,4.0,0,0,0
3:20042195|20043295,5.0,0,0,0,0,0,0,0
3:58432513|58432928,0,0,0,0,0,4.0,0,0
3:82915955|82917428,1.0,0,0,0,0,0,0,0
3:82917408|82917896,2.0,0,3.0,1.0,0,0,2.0,0
3:82920285|82921614,11.0,6.0,0,0,0,9.0,7.0,7.0
3:82937581|82938247,0,0,0,0,4.0,0,0,0
3:82938817|82939055,5.0,0,0,0,4.0,5.0,0,0
3:82950730|82951612,0,2.0,0,3.0,3.0,0,0,0
3:82951084|82951612,7.0,1.0,5.0,0,0,5.0,0,0
3:82954101|82957110,0,0,3.0,0,0,0,0,0
3:87273302|87274990,0,0,0,0,2.0,0,0,0
3:94542716|94629281,0,0,0,1.0,1.0,0,5.0,0
3:94546232|94630211,0,7.0,8.0,0,0,8.0,0,0
4:107962241|107969450,0,0,0,0,3.0,0,0,0
4:115381445|115463969,0,0,0,0,0,0,2.0,0
4:135682898|135686088,9.0,0,0,0,0,4.0,0,3.0
4:139007393|139007895,0,0,0,1.0,0,0,0,0
4:141416581|141419622,2.0,0,0,0,0,0,4.0,0
4:156261680|156261898,0,0,0,0,0,2.0,0,0
4:40807251|40807786,0,0,0,4.0,0,0,0,0
4:40977086|40977342,0,0,3.0,0,0,0,0,0
4:46469889|46471467,0,1.0,0,0,0,0,0,0
4:49536800|49538282,0,0,0,0,0,0,0,5.0
4:49543672|49543836,0,0,0,0,0,2.0,6.0,0
4:53036873|53038252,0,0,0,4.0,0,0,0,0
4:60140650|60222035,0,0,0,21.0,0,64.0,259.0,38.0
4:61947528|62001964,0,0,0,0,0,0,0,3.0
4:61969509|62001964,0,0,0,0,0,0,168.0,0
4:62002754|62003038,0,0,0,0,0,0,3.0,0
4:62003441|62066480,6.0,0,0,0,0,0,0,0
4:62005361|62068565,0,0,0,0,17.0,12.0,0,17.0
4:63066960|63069762,0,0,0,0,0,0,1.0,0
4:63067656|63070864,0,0,0,0,0,0,2.0,0
4:63264519|63282262,0,37.0,0,0,13.0,0,0,0
4:63266207|63276129,0,5.0,0,0,0,0,0,5.0
4:96529509|96529685,0,0,0,0,0,0,2.0,4.0
4:98921551|98925725,0,0,0,0,0,0,2.0,0
5:105228996|105305918,0,0,0,0,2.0,0,0,0
5:105251635|105273616,6.0,2.0,0,0,0,0,0,0
5:105372520|105428137,0,0,21.0,0,0,0,0,0
5:105441492|105491819,68.0,61.0,60.0,35.0,202.0,43.0,101.0,0
5:110071336|110144076,0,0,0,0,0,0,2.0,0
5:113986588|113988848,2.0,0,0,0,0,0,0,0
5:120600911|120601264,0,2.0,0,0,0,0,0,0
5:121708717|121710148,2.0,0,0,0,0,4.0,0,0
5:121711550|121714034,2.0,0,0,0,0,1.0,0,0
5:121933001|121949675,0,0,0,0,0,0,0,7.0
5:122639716|122639889,2.0,0,0,0,0,0,0,0
5:123312441|123314025,3.0,0,0,0,0,0,0,0
5:123318737|123319515,7.0,6.0,0,5.0,0,8.0,7.0,7.0
5:125580247|125583360,2.0,0,0,0,0,0,0,0
5:134290697|134308338,0,0,0,0,0,0,0,1.0
5:135151659|135152010,0,0,0,0,0,0,0,2.0
5:137090816|137091039,0,4.0,0,0,0,0,0,0
5:137100023|137101099,0,0,0,3.0,0,0,0,0
5:137985880|137987910,0,0,0,0,0,4.0,0,0
5:142890305|142890523,0,3.0,0,0,0,0,0,0
5:145636536|145795693,0,0,22.0,0,0,0,0,0
5:145645855|145805854,18.0,0,0,0,0,0,23.0,29.0
5:145652280|145810341,0,0,0,0,0,9.0,0,0
5:145716333|145795693,0,0,0,0,0,0,0,4.0
5:145727460|145799317,5.0,0,1.0,3.0,96.0,9.0,18.0,4.0
5:145731713|145805854,0,0,2.0,0,0,0,0,0
5:145799157|145812284,0,0,3.0,0,0,0,0,0
5:145914453|145918356,0,0,0,0,0,0,0,4.0
5:22090493|22115111,0,0,0,0,0,1.0,0,0
5:87072407|87237408,0,0,0,0,0,0,3.0,0
5:87159833|87160043,0,0,0,0,0,0,2.0,3.0
5:87285063|87398561,0,0,0,3.0,0,0,0,0
5:87398430|87560307,0,0,0,0,0,5.0,16.0,0
5:88785078|88785218,0,0,0,0,0,0,3.0,0
5:89583378|89586127,0,0,0,0,0,0,0,4.0
5:89591358|89593240,0,0,0,0,0,3.0,0,2.0
5:89593241|89594428,1.0,0,0,0,0,0,0,0
5:8991044|8996119,0,2.0,0,0,0,0,0,0
5:90611848|90612042,0,0,4.0,0,0,0,0,0
5:90611882|90612018,6.0,0,0,0,3.0,7.0,7.0,0
5:90612008|90612844,0,0,27.0,0,0,0,0,0
5:90612712|90613793,0,0,2.0,0,0,0,0,0
5:90612815|90615281,0,48.0,0,0,0,0,0,0
5:90615203|90620543,0,0,0,0,0,0,1.0,0
5:90616370|90617389,0,0,0,0,16.0,0,0,0
5:90616445|90619915,0,0,0,0,9.0,1.0,0,0
5:90616445|90620406,0,9.0,0,0,0,0,0,0
5:90616505|90617442,0,0,0,4.0,2.0,0,0,0
5:90616505|90619933,0,11.0,4.0,0,0,0,3.0,0
5:90618650|90619933,0,0,1.0,0,0,0,0,0
5:90619898|90620406,7.0,0,4.0,0,0,0,0,0
5:90620479|90622558,0,0,0,0,0,0,30.0,0
5:90620481|90623159,0,0,3.0,0,0,0,0,0
5:90623137|90624419,53.0,48.0,0,0,0,0,0,0
5:92753191|92753426,0,0,0,0,0,5.0,3.0,0
6:116628750|116628899,0,2.0,0,0,0,0,0,0
6:119347111|119347369,0,0,0,0,0,0,0,4.0
6:121757909|121857559,3.0,0,3.0,0,0,3.0,0,5.0
6:121818231|121986400,0,0,0,0,1.0,0,0,0
6:121840680|122024457,0,0,0,0,0,12.0,9.0,9.0
6:121863504|121930420,0,0,1.0,4.0,0,7.0,6.0,0
6:122048711|122211643,0,0,1.0,0,0,0,0,0
6:122049088|122212515,0,0,0,1.0,0,0,0,0
6:124891371|124891667,2.0,0,0,0,0,0,0,2.0
6:124891371|124891922,0,0,0,0,0,1.0,0,0
6:128463081|128464453,3.0,10.0,5.0,0,7.0,0,0,0
6:128463856|128464453,0,0,0,0,0,2.0,0,0
6:128466982|128468172,0,0,0,0,0,0,2.0,0
6:128469120|128471787,0,0,4.0,0,0,0,0,0
6:128760627|128792281,12.0,5.0,2.0,10.0,6.0,0,0,0
6:128761068|128792281,1.0,0,0,0,0,0,0,0
6:129515578|129518156,0,0,0,0,1.0,0,0,0
6:129635629|129652363,0,0,6.0,3.0,3.0,0,0,0
6:138124706|138127860,0,0,0,0,0,0,3.0,0
6:141580115|141594260,0,0,1.0,0,0,0,0,3.0
6:29361559|29361752,1.0,0,0,0,0,0,0,0
6:40662211|40688205,0,0,0,0,1.0,0,0,2.0
6:40691909|40727200,0,1.0,0,0,0,0,0,0
6:40701505|40727915,1.0,0,0,0,0,0,0,0
6:52596962|52607334,0,0,0,0,2.0,3.0,0,0
6:55147700|55147997,2.0,0,0,0,0,0,0,0
6:68098499|68247556,1.0,0,2.0,0,0,0,0,0
6:71176865|71178764,0,0,0,0,4.0,0,0,0
6:85422811|85422951,0,0,0,0,2.0,0,0,0
6:87000110|87002642,0,2.0,0,0,0,0,0,0
6:87880467|87881158,2.0,0,0,0,0,0,0,0
6:90546797|90566412,0,1.0,0,0,0,0,0,0
7:103914170|103984881,0,0,0,3.0,0,0,0,0
7:103914170|103988186,0,0,0,0,0,0,3.0,0
7:103928520|103995951,0,0,2.0,0,3.0,0,0,0
7:105241093|105244406,10.0,32.0,2.0,9.0,0,0,6.0,0
7:105241408|105244394,0,4.0,0,0,0,0,0,0
7:105244299|105244724,10.0,0,0,0,0,0,1.0,0
7:105244725|105245498,6.0,0,0,0,9.0,0,0,0
7:105244725|105249067,0,0,0,0,0,0,5.0,0
7:105245507|105248533,0,16.0,0,0,0,0,0,0
7:105245520|105248533,0,0,0,11.0,0,0,0,0
7:111700968|111701120,0,0,0,0,0,0,0,2.0
7:119258346|119259906,0,0,0,0,0,0,3.0,3.0
7:126974561|126991687,0,0,3.0,0,0,0,0,0
7:140353051|140354644,0,0,0,0,5.0,0,0,0
7:140353066|140354496,0,0,0,0,0,0,0,3.0
7:14150143|14157410,0,0,0,0,0,0,2.0,0
7:144006285|144008523,0,0,0,0,0,0,0,3.0
7:16010127|16010478,1.0,0,0,0,0,0,0,0
7:19430263|19430499,0,0,3.0,0,0,0,0,0
7:19430263|19430935,0,0,0,0,0,92.0,0,0
7:19430326|19430538,0,0,0,0,3.0,0,0,0
7:19430497|19430652,0,0,0,0,5.0,0,0,0
7:19430518|19430946,0,0,0,0,0,3.0,0,0
7:19430551|19430922,0,0,0,0,0,1.0,0,0
7:19430688|19430847,0,0,0,0,3.0,0,0,0
7:19430731|19430922,0,9.0,0,1.0,8.0,0,4.0,0
7:19430923|19431546,0,0,0,0,8.0,0,0,0
7:3720551|3898374,49.0,0,0,0,0,0,0,0
7:3723102|3742455,10.0,0,0,0,1.0,3.0,0,0
7:3723102|3918072,0,2.0,0,0,4.0,0,1.0,0
7:3742637|3918072,0,0,78.0,45.0,1.0,0,0,0
7:3766803|3918072,0,3.0,0,0,0,0,0,0
7:3802770|3918072,0,0,0,0,0,17.0,0,0
7:3828327|3918072,0,1.0,4.0,1.0,0,0,0,0
7:3900860|3918072,0,0,4.0,0,2.0,0,0,0
7:45144979|45148223,0,0,0,0,0,0,2.0,0
7:46390062|46390792,19.0,20.0,12.0,35.0,0,0,0,0
7:65733207|65736784,1.0,0,0,0,0,0,0,0
7:98807461|98813912,0,3.0,0,0,0,0,0,0
8:105776815|105811781,0,0,0,0,0,9.0,0,0
8:105778364|105813343,0,0,0,0,0,0,14.0,0
8:110719238|110720591,0,0,0,0,0,0,1.0,0
8:111703061|111734943,0,0,4.0,0,0,0,0,0
8:112566990|112568573,0,0,0,0,0,0,3.0,0
8:11273050|11282030,0,0,3.0,0,0,0,0,0
8:118461233|118461445,0,0,0,0,0,0,0,2.0
8:125291003|125291158,6.0,0,0,0,0,0,0,0
8:75823715|75823915,0,0,0,2.0,0,0,0,0
8:85569220|85570790,0,0,0,0,0,0,1.0,0
8:93786931|93827354,0,0,973.0,0,0,0,0,0
8:93786931|93896421,0,0,0,0,109.0,22.0,0,0
8:93798495|93847000,0,0,0,0,0,0,5.0,0
8:93830747|93896421,0,479.0,0,0,0,0,0,0
8:93837354|93868098,0,0,0,0,0,0,2.0,0
8:93849728|93872375,2.0,0,0,0,0,0,0,0
8:93857323|93879020,0,7.0,21.0,0,4.0,12.0,10.0,24.0
8:93880492|94000885,0,0,0,0,0,0,2.0,0
8:95558401|95559197,2.0,0,0,0,0,0,0,0
9:103087760|103089091,0,0,0,0,0,9.0,0,0
9:103089118|103093083,6.0,6.0,4.0,0,6.0,11.0,5.0,0
9:103092392|103093101,0,0,4.0,0,0,1.0,5.0,0
9:103092392|103094654,0,0,0,0,0,0,15.0,0
9:103092408|103094671,15.0,0,0,0,0,12.0,14.0,15.0
9:103100245|103100838,0,0,0,2.0,0,0,0,0
9:108208070|108212380,0,4.0,0,0,2.0,0,0,7.0
9:108217025|108217374,0,0,0,0,0,0,1.0,0
9:108940903|108941160,0,0,0,0,0,0,0,2.0
9:110210197|110210401,0,0,0,0,0,0,2.0,0
9:123136391|123136707,0,0,0,0,0,0,0,2.0
9:46140444|46141262,0,0,0,0,0,0,0,2.0
9:46140476|46141262,9.0,0,0,0,0,6.0,0,0
9:46141197|46141598,0,0,6.0,0,0,0,0,0
9:46153725|46153922,15.0,6.0,0,13.0,0,0,0,0
9:46182234|46182457,0,0,0,0,0,0,2.0,0
9:77884152|77887195,0,0,0,0,2.0,0,0,0
9:78149735|78211785,0,1.0,0,0,0,0,0,0
MT:13166|13370,0,0,0,0,0,2.0,0,0
MT:13371|13514,0,0,0,0,2.0,0,2.0,0
MT:13917|14141,0,0,0,0,0,0,2.0,0
MT:14589|14741,0,0,0,0,2.0,0,0,0
MT:14917|15070,3.0,5.0,0,8.0,0,0,7.0,8.0
MT:2992|12710,0,0,0,5.0,0,0,0,0
MT:4834|13259,0,0,0,0,0,0,1.0,0
MT:5760|5954,13.0,5.0,10.0,6.0,0,20.0,7.0,10.0
MT:5760|5969,0,0,2.0,0,0,0,0,0
MU069435.1:3592|30804,0,2.0,0,0,0,0,0,0
MU069435.1:3592|30918,0,0,0,0,0,6.0,2.0,0
X:103366940|103386186,0,0,0,0,0,0,1.0,0
X:105059358|105070985,70.0,0,0,0,59.0,18.0,0,10.0
X:20418714|20423851,0,0,0,0,0,0,0,2.0
X:37513144|37531017,0,0,0,0,0,0,2.0,0
X:37514240|37519867,0,0,2.0,3.0,0,0,0,0
X:49692248|49704392,0,0,0,0,0,0,0,1.0
X:74834891|74837258,0,0,0,0,0,2.0,0,0
Y:90750411|90804686,15.0,15.0,29.0,22.0,33.0,10.0,2.0,8.0
Y:90750411|90804949,6.0,1.0,0,2.0,0,0,1.0,0
